132	84
140	84
309	70
319	85
321	87
305	83
316	79
158	50
183	75
320	70
320	75
310	82
140	80
135	70
125	85
150	70
300	89
130	85
310	85
320	87
10	80
9	85
12	89
12	75
10	80
20	80
17	70
15	85
19	79
0	70
190	65
175	65
179	60
185	85
200	60
180	60
190	80
190	85
188	80
259	80
270	75
215	80
350	52
45	86
40	60
43	89
325	60
330	73
230	50
30	70
11	89
186	89
322	80
345	80
340	80
200	75
192	70
358	89
345	75
342	68
200	72
205	85
25	80
5	80
47	87
60	90
248	80
250	87
22	80
30	78
58	85
45	85
170	80
175	85
60	70
20	85
273	50
73	89
64	68
73	70
27	82
127	82
311	72
330	87
140	55
161	58
158	51
165	48
139	85
225	85
231	48
225	85
153	62
102	89
19	80
214	76
331	77
183	78
222	74
359	84
256	74
315	67
173	77
186	74
185	68
187	65
13	74
13	75
203	71
289	88
186	78
255	73
145	82
184	88
201	75
165	88
346	74
323	77
121	81
324	69
313	76
153	71
300	78
79	71
179	87
274	65
130	73
160	52
215	89
227	88
257	72
40	87
236	76
48	88
259	85
76	77
64	88
259	75
182	62
320	79
73	79
234	84
235	73
233	80
223	79
232	76
358	67
37	70
195	80
27	81
10	81
212	87
47	87
238	81
199	87
241	80
222	70
351	68
325	79
52	87
324	83
324	84
56	72
152	73
328	80
347	75
11	89
222	84
223	72
331	71
196	89
332	73
9	80
227	77
228	85
231	86
43	83
216	72
213	77
296	71
215	80
9	71
239	79
24	82
286	79
257	75
255	72
237	70
154	86
321	60
353	66
350	66
357	54
105	83
329	85
